Algorithm: Prim's MST
12365 36729 2
12365 69929 6
69929 71050 4
36729 41251 16
36729 48425 18
48425 31233 4
31233 95207 12
48425 11381 20
11381 60711 15
41251 84941 21
71050 41505 26
91314 12370 30
12370 19099 1
7624 12528 30
12528 65333 8
2021 12578 30
12578 71966 26
12578 98901 26
1255 12644 30
12058 12685 30
24478 12730 30
2657 12802 30
12802 98472 1
12802 32032 13
32032 37672 14
12802 80799 21
80799 90383 16
32032 93449 21
93449 33028 7
15809 12912 30
12912 13938 14
12912 4029 19
4029 13751 3
4029 9470 5
4029 47163 5
47163 48600 11
4029 3788 16
3788 44709 6
44709 34115 19
34115 39273 13
12912 3675 21
48600 40612 22
32018 12925 30
12925 71117 7
71117 16622 5
71117 15462 17
15462 84481 20
84481 82785 7
16622 1872 24
1872 2225 25
2225 40679 19
40679 71884 14
71884 65246 8
71884 74769 16
74769 82380 19
84481 98050 26
15462 2351 27
2351 7321 10
7321 22231 8
7321 27768 21
27768 94445 13
65246 61483 27
71884 70794 28
82785 72884 29
72884 27827 28
27827 4314 21
4314 37085 10
37085 18360 15
4314 12424 19
12424 21004 14
37085 11289 27
11289 35666 25
21004 24691 29
11289 11550 30
11550 13708 17
11550 92987 20
92987 57600 17
57600 50579 12
2760 13022 30
13022 65779 2
54068 13096 30
13096 19833 9
13096 19049 10
38935 13126 30
7596 13223 30
13223 46075 7
13223 82393 29
82393 33706 4
82393 62810 12
62810 86493 1
62810 70543 15
70543 40052 13
86493 54763 17
54763 87262 1
54763 18643 3
54763 24433 4
87262 77871 10
62810 59830 21
59830 63421 5
63421 38497 9
59830 43281 10
43281 70324 1
63421 8146 17
8146 34631 10
34631 3180 5
3180 42414 3
42414 84220 3
3180 7611 15
7611 98021 4
7611 64564 8
98021 39708 14
34631 93485 23
93485 23491 21
7611 32205 24
32205 53599 10
84220 84449 26
86493 9333 28
9333 52274 17
52274 46524 7
52274 68845 21
68845 50740 13
62810 88882 28
42414 34728 29
34728 43411 6
43411 59185 9
59185 13464 20
34728 95446 20
8078 13352 30
13352 48261 3
13352 19997 16
13352 15973 17
23657 13500 30
13500 7076 30
30561 13519 30
13519 26869 24
85422 13703 30
13703 68220 16
68220 63131 2
68220 52480 9
52480 42008 2
13703 7984 25
7984 1675 21
1675 97415 17
97415 79368 15
79368 99500 21
1675 12674 26
12674 53591 15
12674 95253 22
95253 64244 1
95253 87281 25
68220 40520 27
40520 69547 26
2718 13738 30
10090 13812 30
13812 86654 9
1807 13907 30
90888 13991 30
13991 88529 22
88529 33694 14
33694 65771 23
65771 23798 6
23798 23329 6
23798 2260 10
2260 27275 8
23329 91122 20
91122 82212 10
65771 67186 27
88529 68539 28
68539 56163 2
56163 13846 26
13846 6777 10
6777 25596 16
13846 62948 16
6777 6550 17
6777 51918 25
51918 17297 23
68539 91962 29
91962 87729 24
87729 72967 25
72967 64927 23
64927 31109 26
64927 7247 30
7247 10999 14
2168 14052 30
72778 14061 30
39069 14184 30
2103 14438 30
14438 37505 19
37505 5063 19
5063 64395 9
14438 54136 25
54136 61513 1
5063 89402 27
89402 53362 12
53362 20221 10
20221 43459 21
20221 74154 25
2686 14576 30
11229 14719 30
1677 14735 30
14735 23469 20
16865 14813 30
14813 22371 9
14813 34457 27
23908 14987 30
14987 1526 17
1526 94739 17
94739 67960 13
1526 5665 24
94739 22610 28
22610 7630 21
7630 43508 29
43508 11983 15
11983 17960 7
11983 4666 9
17960 30970 22
17960 35486 28
88859 15035 30
15035 4824 9
4824 3402 9
15035 92114 21
92114 70268 5
92114 84146 20
84146 9723 7
70268 89229 24
89229 39019 28
89229 84339 29
54044 15164 30
15164 82683 14
15164 4410 22
4410 23574 14
23574 70260 9
23574 90886 16
90886 63453 10
63453 97919 27
15164 18926 29
77526 15201 30
15201 24645 18
24645 32333 26
831 15218 30
37409 15250 30
2361 15264 30
15264 78365 3
10149 15339 30
2568 15361 30
15361 17154 7
15361 74613 24
74613 89133 11
89133 77828 14
77828 83010 3
83010 4950 2
83010 53013 10
53013 47188 8
47188 35146 13
35146 88314 20
4950 49566 25
88314 58871 25
58871 43025 4
43025 76857 4
15361 64630 27
64630 49293 14
49293 40761 29
40761 30486 7
40761 19264 10
19264 4746 18
30486 82828 23
25307 15440 30
15440 27486 21
15440 22508 26
47667 15542 30
7692 15566 30
15566 78705 18
61714 15812 30
15812 22531 17
15812 5950 18
5950 18950 10
5950 76970 22
22531 93859 23
73781 15817 30
15817 3886 6
15817 10958 9
15817 38297 22
38297 47338 10
47338 86509 23
3886 34302 26
34302 40876 19
40876 94100 21
94100 35446 13
35446 51394 8
51394 77635 20
40876 6736 26
6736 7202 23
51394 15823 29
43287 15842 30
15842 42600 23
76404 15861 30
15861 23299 10
23299 87512 4
87512 4704 10
4704 64754 15
4704 98728 27
96274 15953 30
15953 29391 15
550 16020 30
16020 89890 1
62426 16070 30
16070 1874 15
1874 53463 15
53463 85101 5
3157 16149 30
80364 16186 30
13822 16380 30
16380 16663 9
16663 12596 28
7432 16401 30
16401 63767 25
16401 20030 26
20030 44535 19
44535 40418 17
40418 21315 9
21315 94492 15
94492 99413 11
2500 16429 30
16429 62418 24
62418 926 10
926 2564 4
2564 26871 3
2564 62634 27
10806 16555 30
16555 92753 14
7998 16593 30
16593 47025 2
51883 16676 30
16676 46999 23
53564 16860 30
8885 16913 30
16913 8084 1
16913 35213 16
74328 17064 30
17064 97536 1
17064 10287 6
10287 78928 3
10287 91694 11
10287 15968 14
15968 98687 17
98687 35936 16
35936 84955 3
84955 68874 2
35936 70597 16
10287 11848 19
10287 67708 19
15968 79153 19
84955 76808 21
70597 72450 24
72450 87122 6
39610 17068 30
17068 33503 7
17068 33655 10
17068 11771 15
11771 73546 16
51195 17070 30
17070 74156 25
8746 17077 30
11501 17129 30
17129 99115 2
99115 87462 6
17129 68284 23
17129 22600 26
16815 17348 30
30523 17351 30
17351 95895 7
28053 17382 30
17382 18869 28
18869 96564 17
96564 75996 19
75996 39549 6
39549 38345 2
38345 79023 18
79023 44015 22
39549 26902 28
26902 88200 22
88200 23853 5
23853 44814 5
44814 15582 9
15582 81982 27
81982 33137 5
15582 55398 28
55398 63891 23
63891 22507 11
55398 20932 28
23853 92561 28
44015 81023 29
81023 6378 2
6378 44000 16
44000 5614 9
5614 48088 13
6378 22481 18
5614 38863 22
48088 92438 26
92438 79685 13
18869 98941 29
6378 1438 30
1438 95898 20
95898 28702 21
19081 17453 30
17453 14757 14
14757 97566 3
97566 25087 1
25087 81614 2
25087 54229 5
54229 75995 5
14757 21235 11
54229 94252 15
25087 62754 16
14757 38896 17
21235 6186 19
54229 1756 20
1756 36320 6
1756 14013 15
75995 60195 22
6186 17024 24
6186 97872 25
97872 71992 19
60195 93969 26
1756 8516 28
8516 30039 10
38896 20438 29
20438 51067 21
51067 98836 12
51067 38216 27
20438 22175 29
81614 40452 29
62754 88940 29
20438 89101 29
29502 17615 30
17615 78002 12
78002 61924 3
17615 40905 16
17615 87024 25
61178 17621 30
49185 17839 30
17839 59829 17
59829 32276 14
17839 92529 29
53072 18110 30
97819 18215 30
62196 18413 30
37753 18606 30
18606 5353 1
5353 35934 2
35934 85275 12
85275 54832 1
5353 38749 18
5353 58509 25
35934 85825 25
5353 16334 26
49426 18810 30
18810 38037 15
18810 54804 22
18810 19806 25
19806 52550 8
29776 18913 30
18913 29185 17
48528 19091 30
19091 69324 4
19091 51382 13
51382 75046 15
21819 19341 30
19341 99026 26
8234 19469 30
36782 19497 30
80681 19524 30
8074 19627 30
19627 46168 25
46168 4652 21
38443 19774 30
19774 7148 24
7148 84194 14
84194 70674 2
15689 19807 30
19807 64252 11
81505 19869 30
19869 10704 25
1064 19964 30
19964 70383 11
93194 20020 30
50483 20067 30
20067 45075 15
3528 20587 30
20587 12473 25
12473 16767 11
20647 20654 30
10301 20663 30
27053 20951 30
11736 21149 30
38892 21211 30
5668 21413 30
21413 64187 28
64187 35868 24
35868 11338 5
11338 14636 9
35868 59609 9
14636 18350 10
18350 32856 7
32856 10106 2
11338 424 17
424 43185 9
43185 45829 9
45829 97161 8
43185 91682 11
10106 44166 18
11338 28800 21
28800 89231 10
89231 57398 4
89231 8970 15
8970 624 22
624 7092 25
14636 33254 25
8970 51536 26
97161 95278 27
415 21416 30
21416 15376 7
15376 1387 7
1387 45002 1
1387 62920 10
62920 75831 7
75831 3690 5
45002 7252 11
75831 44457 11
62920 87012 12
1387 48170 19
48170 26594 18
21416 3072 20
3072 12552 9
12552 15928 20
7252 16128 20
16128 27742 8
27742 51239 12
51239 41544 13
41544 94579 4
51239 80015 17
44457 22816 21
51239 9417 22
9417 14023 13
1387 36919 23
36919 65165 18
65165 38739 1
65165 86144 14
7252 99392 24
65165 40650 26
40650 79621 22
40650 240 24
27742 29288 27
87012 18357 29
18357 79324 10
79324 77428 8
240 95788 29
95788 22697 5
22697 45552 12
45552 60585 15
37103 21523 30
21523 188 19
188 38553 7
188 2595 19
2595 2669 24
2669 59605 10
59605 59051 1
59051 10564 10
10564 71140 6
10564 89721 10
89721 29275 6
89721 77766 17
29275 99941 20
99941 14991 5
14991 45019 11
99941 11283 16
11283 13626 16
13626 58919 16
58919 62828 9
99941 47796 18
45019 84364 20
84364 24090 18
59051 23717 21
23717 33981 2
23717 80769 12
23717 58979 16
58979 33721 6
33721 99222 10
58979 55308 14
33981 43443 19
43443 64540 17
33721 81894 19
11283 55693 24
10564 57144 26
11283 26563 29
26563 96463 6
96463 94236 6
96463 13948 7
13948 18440 12
26563 83033 18
94236 68194 19
83033 5370 23
5370 30358 7
30358 94623 21
49290 21588 30
14163 21817 30
21817 32438 20
21817 57157 22
32438 68081 26
90223 21878 30
21878 40692 26
40692 99118 11
21878 7038 29
7038 41687 16
36676 21994 30
21994 89255 4
21994 57482 19
57482 11668 2
57482 20597 11
20597 82870 9
57482 10930 19
20597 95126 25
82870 28939 27
28939 9559 17
9559 99405 26
424 22036 30
22036 60047 10
22036 47155 17
47155 34750 25
34750 17255 13
17255 64030 11
64030 73003 17
64030 14808 28
14808 9337 10
14808 32527 23
32527 38038 3
38038 14251 13
14251 14046 1
14046 27726 5
27726 80190 9
14046 12633 11
12633 4849 15
4849 37074 2
4849 98444 4
12633 16443 15
16443 93705 15
14251 95085 17
95085 61263 1
27726 58712 23
4849 30639 27
30639 67458 12
67458 61828 4
67458 23671 15
14046 47567 28
32527 21992 29
21992 98637 1
21992 61404 6
21992 46394 20
46394 23676 8
23676 54962 18
46394 57805 25
57805 28938 9
28938 22510 2
47567 46094 29
46094 93772 8
46094 20261 20
20261 62011 5
62011 56973 3
56973 54083 5
56973 63782 12
20261 61922 13
61922 41100 18
41100 20305 6
93772 4074 28
4074 99281 23
76632 22127 30
22127 70154 2
70154 35145 16
35145 5137 10
70154 38954 23
38954 9918 12
5774 22241 30
22241 13193 28
13193 52106 19
52106 96352 8
52106 27082 24
13193 7633 25
7633 3555 2
7633 1123 13
13193 35256 27
35256 9086 3
9086 63823 15
63823 98592 18
35256 15605 24
15605 18646 15
18646 78465 7
15605 9920 19
9920 19355 20
15605 46771 25
46771 20899 18
4525 22263 30
378 22488 30
22488 62072 5
78513 22544 30
24830 22644 30
22644 34692 14
22644 76622 22
76622 28618 7
28618 51704 25
51704 20873 23
20873 88055 21
76622 84010 25
84010 57108 2
22644 79532 27
79532 88723 6
88723 30299 13
30299 9813 5
88723 42876 17
30299 42493 24
42493 50285 28
9813 7602 29
7602 21978 27
21978 59842 14
59842 21420 29
21420 28759 12
21420 15133 14
15133 4094 16
4094 92536 23
15133 73430 24
95013 22680 30
22680 2088 11
2088 62222 4
62222 57845 4
2088 15735 15
15735 66360 6
22680 27602 15
66360 13094 16
13094 47604 4
47604 40208 5
2088 19814 24
19814 39729 24
39729 49723 2
49723 37199 1
37199 23827 2
23827 32298 8
23827 38341 9
38341 41551 3
38341 43211 8
38341 59242 9
38341 72118 11
38341 81346 11
49723 69583 14
69583 88170 13
49723 75913 15
38341 89726 23
11247 22828 30
22828 37297 22
37297 63756 5
99942 22859 30
22859 23176 5
23176 34887 5
22859 58383 28
58383 20666 15
20666 11132 1
20666 24264 13
11132 9429 27
11132 27770 27
27770 78655 1
78655 74019 6
74019 108 7
74019 6846 27
6846 99377 9
6846 47330 24
6846 50244 24
59914 23022 30
23022 81615 8
81615 48743 6
23022 9342 26
9342 47823 16
47823 58900 13
58900 79706 9
58900 34265 17
81615 54951 28
54951 79705 23
53990 23095 30
23095 7463 7
9145 23126 30
5519 23135 30
94364 23230 30
23230 56368 13
45620 23368 30
32024 23412 30
23412 51225 17
9575 23516 30
23516 16051 3
16051 80054 17
80054 70447 4
80054 33781 9
33781 34658 4
34658 88772 13
16051 70237 23
10715 23542 30
23542 32580 22
54510 23627 30
64997 24115 30
97584 24292 30
24292 6127 23
6127 88273 11
6127 6024 14
6127 19962 14
6024 2815 21
2815 21557 22
21557 72759 3
72759 68577 12
9578 24506 30
24506 51132 25
51132 58783 14
34351 24526 30
24526 14650 13
14650 16057 26
16057 17857 21
26611 24778 30
2752 24784 30
24066 24819 30
24819 97624 14
61234 25153 30
25153 24525 14
24525 50028 3
25153 56743 28
56743 51572 22
60035 25208 30
4358 25268 30
12853 25318 30
25318 35776 19
35776 53884 23
25318 28769 26
59002 25655 30
44046 25692 30
25692 76298 8
76298 48801 1
25692 69331 14
85780 25824 30
25824 62115 20
62115 89923 13
62115 63364 19
85613 26139 30
26139 14258 8
14258 91174 15
91174 8477 3
91174 47688 20
47688 45575 15
45575 50 2
50 43330 1
50 25895 19
8477 17414 22
17414 32588 24
8477 2951 26
2951 89107 6
89107 14958 3
14958 24647 12
24647 81411 5
2951 15179 13
15179 84051 10
2951 3692 15
81411 5509 22
5509 7393 22
24647 75304 24
75304 88881 18
81411 67555 26
67555 23262 14
23262 7128 15
7128 81014 4
81014 96270 23
15179 64209 28
14258 6076 29
6076 16519 10
16519 61708 17
96270 69031 29
69031 38673 7
38673 80470 16
80470 74273 4
74273 86789 14
74273 91823 20
80470 18739 22
91823 48988 25
48988 82435 26
82435 16159 29
26139 76833 29
81014 90036 29
7393 13250 30
13250 80456 6
13250 58263 8
80456 69807 12
80456 10369 13
10369 90775 10
90775 27304 8
10369 73862 17
58263 38270 19
38270 5797 19
5797 79698 4
90775 22238 27
22238 38686 6
22238 41424 12
5797 1174 30
56521 26316 30
2752 26325 30
26325 14144 22
12429 26343 30
66280 26714 30
26714 18020 25
18020 86603 8
18020 9348 20
9348 15163 11
86603 60341 28
60341 31898 9
9348 5231 30
5231 88912 7
5231 49465 22
49465 76770 12
76770 21468 27
21468 22514 15
22514 86903 17
21468 97471 24
86903 32789 25
76770 8745 29
21468 58757 29
4014 27118 30
27118 28963 26
73834 27200 30
27200 96275 24
38438 27274 30
27274 20293 6
43078 27404 30
27404 90474 1
27404 60847 29
60847 35456 16
60956 27656 30
27656 30182 5
27656 33312 5
33312 99994 2
27656 56406 9
33312 87792 12
2939 27988 30
27988 50537 12
98263 28520 30
28520 89189 15
31292 28562 30
81844 28649 30
28649 6908 20
76141 28671 30
28671 52321 9
28671 12185 14
12185 45367 1
45367 25675 17
25675 6882 22
54025 28681 30
18311 28735 30
28735 76268 11
34951 28839 30
26597 29077 30
29077 60852 12
60852 84380 9
84380 91826 6
84380 93594 11
29077 39065 22
39065 97770 8
39065 60549 16
60549 33945 10
33945 51819 1
60549 41143 14
41143 80026 14
51819 7993 25
39065 17153 30
17153 10352 12
31267 29255 30
45637 29311 30
29311 21599 7
21599 74169 24
74169 39457 25
21599 65430 29
65430 81402 27
74169 3132 30
3132 68491 19
68491 68478 5
31450 29374 30
16985 29518 30
3984 29551 30
29551 49697 4
29551 74526 6
29551 41726 27
41726 81158 8
41726 65630 24
65630 49436 18
74526 80962 29
5786 29958 30
56362 30108 30
30108 8565 4
52469 30221 30
30221 20238 13
20238 96504 6
57308 30316 30
30316 40259 5
25806 30551 30
30551 16799 5
30551 73582 10
73582 83825 2
73582 3515 9
73582 53753 13
53753 51675 3
30551 7008 21
7008 90369 13
4872 30643 30
39946 30751 30
1790 30776 30
30776 44727 3
66277 30781 30
22199 31102 30
31102 77113 4
31102 48375 8
48375 47627 13
31102 13207 26
13207 47269 5
47269 43271 11
43271 33541 22
33541 13608 14
33541 15141 16
15141 8907 7
8907 98391 14
8907 86346 16
86346 61738 5
98391 26961 17
26961 8046 5
26961 40229 7
8046 35886 8
35886 63583 17
63583 66067 2
8046 32967 19
32967 73709 19
98391 78076 22
13207 48789 23
48789 74369 2
48789 63507 14
74369 44813 22
35886 85290 24
13207 75825 25
75825 39216 25
39216 80233 21
80233 87387 4
63507 14073 27
14073 9926 1
14073 89039 20
13207 22158 28
8907 74947 28
75825 36276 29
36276 94243 2
36276 15893 11
36276 45638 13
15893 21433 18
15893 17747 25
86346 57130 29
63507 63830 29
63830 22770 28
22770 51740 28
51862 31191 30
76548 31327 30
11651 31551 30
98302 31832 30
31832 26617 1
31832 5032 9
5032 26672 1
26672 28523 16
26672 62923 16
62923 44493 1
26617 23408 20
23408 95703 6
95703 59469 2
23408 46817 14
95703 45592 25
26617 33132 26
46817 70087 27
33132 78060 28
82497 31862 30
5009 31893 30
22964 32405 30
46273 32763 30
32763 14382 27
14382 65613 1
14382 23072 8
14382 29289 13
29289 46372 8
29289 61663 14
46372 70340 18
60759 32781 30
32781 29825 1
32781 36031 2
29825 95749 7
36031 60482 13
95749 19079 15
29825 23764 19
32781 13416 21
13416 4233 11
4233 73909 19
60482 46113 21
46113 78008 12
78008 78824 12
78824 96121 21
78824 94435 22
4233 7123 24
7123 7915 24
7915 8185 7
7915 39297 18
32781 67203 26
46113 9919 27
29825 3135 30
3135 739 14
739 89948 12
739 41801 15
41801 86517 2
41801 15330 4
41801 25277 4
86517 98177 11
15330 43144 14
43144 10771 8
15330 17593 18
17593 6246 12
6246 29366 2
6246 73484 14
41801 30201 19
89948 12401 20
739 27443 22
86517 4572 27
4572 16999 8
4572 24309 29
24309 26023 4
98054 33051 30
33051 31281 20
1288 33115 30
33115 73639 26
8327 33125 30
16062 33143 30
36783 33176 30
33176 9891 7
9891 31457 23
9891 11476 30
11476 63390 1
11476 19783 9
63390 33731 17
11476 99505 25
11476 16914 28
16914 77310 22
48339 33183 30
58119 33223 30
33223 54926 13
22242 33445 30
92170 33561 30
10022 33562 30
33562 55277 15
33562 74813 29
28962 34161 30
34161 35402 10
30361 34280 30
34280 22141 20
22141 76050 7
34280 4731 25
4731 51386 1
51386 72474 8
4731 5038 9
4731 5160 21
5160 80449 21
22141 17485 27
5160 51072 27
51072 53991 25
53991 60657 24
44602 34325 30
34325 10552 11
42218 34502 30
34502 26387 1
34502 62995 2
62995 62609 25
9409 34649 30
34649 51313 8
63593 34876 30
16070 35042 30
35042 92862 1
92862 37760 9
92862 87661 14
87661 38629 20
38629 33344 13
33344 66274 7
37760 32982 24
33732 35124 30
3320 35231 30
35231 68984 4
68984 89485 2
35231 768 10
768 5637 7
68984 55692 11
68984 71013 13
35231 90751 14
71013 80771 19
71013 42899 24
42899 94647 1
94647 6855 9
6855 47076 17
47076 77648 26
77648 50875 23
50875 1134 15
1134 5841 23
5841 58714 10
5841 58251 20
58251 89830 24
1134 32715 27
17820 35242 30
71366 35437 30
35437 31938 11
21398 35546 30
70539 35609 30
35609 31731 2
31731 38119 6
31731 69050 19
69050 88037 6
69050 87129 7
87129 33957 4
33957 18381 24
34176 35701 30
24081 35731 30
35731 45121 7
35731 93469 21
93469 8720 23
8720 43564 13
43564 42867 4
93469 99478 24
99478 1868 3
99478 15000 7
15000 26055 3
26055 2278 5
15000 95801 11
95801 84856 18
26055 80201 21
2278 1864 27
1864 6679 5
6679 74024 10
1864 22143 18
22143 16715 12
16715 42962 6
42962 75414 10
16715 61947 18
61947 57787 3
57787 19593 2
61947 71112 17
22143 19512 19
1864 1539 20
1539 683 9
683 788 9
788 98215 6
98215 29048 8
29048 20517 8
788 5421 20
6679 14277 22
14277 85105 4
74024 82377 22
82377 97364 2
97364 74261 10
97364 19653 11
82377 53531 15
5421 20397 23
20397 54757 21
54757 20200 9
20200 2899 15
1539 18232 24
85105 29412 24
29412 56153 10
56153 27324 3
29412 46187 19
46187 63464 20
46187 59455 21
1864 46346 24
46346 93740 13
93740 23107 4
23107 33593 23
33593 42127 24
42127 76821 5
42127 38219 6
76821 85657 7
38219 67482 16
23107 26519 25
26519 15945 4
15945 4012 25
4012 5252 8
29412 34335 25
683 49192 25
29412 92449 26
42127 26710 27
1539 63837 27
95801 87109 27
5421 10481 28
27324 40875 28
14277 46010 29
46010 58189 18
58189 30534 11
1868 61148 29
26710 8847 30
8847 40206 2
40206 31257 6
8847 49277 27
20 35818 30
35818 41179 3
35818 35796 15
35796 11163 5
11163 84258 4
11163 46957 15
11163 80431 15
35818 50685 16
50685 68300 12
68300 72998 13
50685 62096 14
72998 92915 17
92915 12524 14
62096 98155 18
98155 91131 1
91131 56132 5
91131 7431 7
7431 3187 1
3187 18071 9
7431 45004 10
56132 76996 11
76996 16045 6
16045 69532 11
69532 77905 16
92915 36006 19
35818 56254 19
69532 55424 20
16045 90173 22
68300 66196 24
66196 19121 20
19121 22700 8
22700 50522 14
98155 75398 25
75398 5249 21
5249 52950 2
5249 50138 4
5249 96247 19
50138 35643 20
77905 22021 26
22021 11674 8
11674 3064 6
3064 17437 2
17437 75069 1
11674 81539 15
22021 51135 16
51135 45680 9
51135 98850 11
17437 32559 22
11674 96167 26
5249 15268 27
15268 74773 13
74773 67810 4
15268 24673 14
67810 33875 18
67810 77575 18
77575 23713 6
23713 7412 4
7412 14391 9
14391 55580 4
67810 55763 24
55763 91041 17
3064 42300 27
67810 70027 27
46957 77616 27
77616 54501 20
54501 67721 12
67721 50762 8
50762 56423 13
50762 44023 15
44023 84383 14
44023 57627 19
57627 49421 18
67721 32826 22
49421 82693 24
62096 78221 27
78221 31679 11
31679 38850 4
38850 89804 10
89804 97369 1
89804 93116 3
93116 3432 4
93116 30475 13
30475 53665 1
30475 36077 17
36077 36886 22
36886 78011 10
78011 68490 20
68490 23809 3
23809 94011 17
94011 15595 21
53665 20232 28
67810 61285 28
15595 4754 29
4754 22966 5
4754 4838 7
4838 50191 4
4838 55832 9
4838 85341 15
85341 3702 20
4838 5447 22
3702 2898 26
2898 37407 17
37407 81334 20
81334 89685 14
81334 91900 19
56132 8042 29
8042 90784 23
23713 37798 29
56254 40203 29
5768 35954 30
17240 36047 30
35846 36290 30
42106 36623 30
36623 7573 10
36623 30779 13
7573 44556 17
30779 17073 21
17073 1466 13
7573 2989 23
2989 38887 21
17073 20105 24
20105 9647 10
1466 37633 25
81339 36638 30
1864 36992 30
36992 81205 9
81205 50700 2
50700 13725 2
50700 49581 5
49581 36380 5
36992 93426 9
49581 29401 13
36992 46299 15
46299 66657 5
46299 73353 8
13725 55865 15
81205 88046 15
66657 65662 16
65662 17679 1
17679 7340 4
7340 97617 4
65662 12225 17
12225 70225 11
65662 49251 17
50700 70025 22
70025 83006 7
83006 63527 16
63527 97043 12
49581 18791 24
18791 80170 6
18791 19552 12
70225 41241 24
29401 2865 26
2865 14159 4
2865 60454 4
2865 79656 8
41241 3533 27
3533 2511 4
2511 38734 3
2511 28825 10
2511 28642 12
38734 81931 18
81931 22491 7
22491 76292 1
81931 59801 18
59801 24037 9
24037 60641 6
24037 28707 8
60641 83547 10
83547 76627 17
24037 51556 19
28707 6444 27
6444 42076 26
42076 46441 9
28825 61632 27
83006 93643 27
93643 40564 13
76627 24198 28
24198 46789 26
46789 39379 23
24198 78386 27
6444 42817 28
42817 9781 25
9781 95564 23
9781 34828 29
34828 28944 7
28944 62561 12
28944 19899 17
19899 17889 2
17889 72712 4
19899 5981 18
28944 50918 18
62561 91274 24
50918 57008 26
7340 95854 29
95854 18648 3
95854 1065 4
1065 33360 3
1065 50818 10
50818 5603 9
5603 3592 9
1065 54607 12
1065 23137 18
5603 68587 21
68587 46812 12
95854 4053 27
54607 85655 29
85655 62858 21
62858 67172 9
62858 52560 16
43271 37139 30
37139 81769 7
81769 65549 2
81769 63454 27
64737 37430 30
49210 37507 30
37507 44438 12
44438 16384 15
95802 37539 30
25034 37597 30
37597 27262 29
38837 37718 30
37718 26431 16
26431 10314 11
60956 37878 30
37878 4942 26
9529 38012 30
38012 11202 16
889 38133 30
38133 2992 20
2992 27244 23
27244 47862 15
47862 64303 5
64303 7541 21
7541 4918 11
4918 12851 17
12851 83471 18
47862 24226 21
24226 18447 3
24226 11666 15
24226 15173 15
27244 86958 23
86958 74119 14
2992 85707 25
47862 67377 28
18447 81325 29
37941 38190 30
8798 38310 30
285 38451 30
38451 17787 5
17787 99955 8
99955 90948 3
90948 46085 4
90948 85824 14
85824 49517 16
38451 36213 29
36213 66013 20
36213 20983 22
20983 27769 16
20983 83191 28
83191 61093 28
61093 60573 4
60573 55798 26
60573 65291 28
463 38463 30
4989 38618 30
38618 39073 26
39073 13132 17
947 38761 30
38761 29195 8
38761 56905 11
56905 86453 3
86453 36068 27
36068 55366 14
55366 50181 1
55366 58756 21
58756 18135 17
18135 26963 13
26963 28941 11
28941 45392 20
36068 29556 22
29556 27489 15
56905 73174 27
73174 81319 1
73174 80445 21
80445 34025 21
80445 12924 24
29556 87607 27
10259 38916 30
38916 58694 3
38916 63299 10
41615 38928 30
7941 39018 30
78928 39097 30
39097 30772 10
39097 78874 17
30772 8837 25
8837 46480 4
8837 8479 26
8479 1771 21
1771 559 8
559 21975 10
559 216 13
216 289 2
216 722 9
216 15981 16
8837 58724 28
58724 10203 4
10203 3628 12
3628 16219 9
10203 39751 27
10203 52715 27
52715 6920 16
6920 47696 8
47696 25708 7
25708 27502 18
27502 33662 15
33662 66567 12
66567 25764 1
47696 61344 18
27502 68861 26
559 4046 29
4046 82883 14
82883 26184 12
4046 36629 19
36629 96083 22
96083 41513 28
41513 20855 6
20855 7272 12
41513 219 13
41513 52016 20
7272 13169 23
219 462 27
722 36446 29
36446 59758 7
59758 46730 18
46730 96833 6
27502 94413 29
94413 43538 11
43538 69125 29
69125 76165 5
76165 10616 3
10616 95635 10
10616 50422 20
19983 39207 30
26597 39491 30
23387 39739 30
39739 40966 28
40966 26681 24
26681 41980 5
41980 91716 14
91716 28974 5
91716 5935 15
5935 72761 3
41980 64272 15
5935 48501 27
38256 39857 30
8181 39881 30
70419 39884 30
39884 54505 5
54505 68051 2
39884 67978 10
67978 40787 2
35573 39936 30
39936 46927 11
46927 78774 8
25161 39986 30
38870 40271 30
13706 40312 30
40312 67347 19
67347 66684 28
19783 40352 30
40352 65453 9
26114 40453 30
94105 40502 30
48130 40967 30
2498 41292 30
73193 41314 30
41314 34735 14
34735 12353 10
12353 99640 23
21851 41444 30
41444 4357 13
4357 67842 10
4357 22134 24
22134 42756 26
20839 41555 30
41555 67583 1
67583 85177 7
67583 28405 13
28405 97457 18
97457 6302 29
6302 84539 21
39334 41581 30
41581 33208 22
33208 1750 9
1750 59995 16
59995 88141 12
88141 56024 22
56024 88943 7
88943 37355 12
37355 60739 17
88943 74560 18
74560 88500 6
88500 50755 20
74560 53856 21
50755 21985 25
21985 3459 12
3459 10931 22
10931 30692 2
10931 1071 6
1071 7736 8
7736 14466 3
30692 6434 9
7736 46450 17
46450 85749 2
1071 4624 21
1071 71367 21
71367 11292 6
11292 85170 13
71367 42674 20
42674 95088 6
42674 63004 11
4624 30079 22
30079 49147 27
49147 80673 18
80673 12588 18
12588 20312 16
80673 62944 23
3459 27341 30
55534 41698 30
13024 41703 30
28086 41731 30
78807 41880 30
23827 42068 30
55135 42833 30
93330 42854 30
91826 42977 30
28139 42994 30
20490 43055 30
29032 43056 30
99414 43480 30
43480 22706 19
22706 84444 25
8770 43700 30
58805 43716 30
47312 43794 30
43794 84519 7
43794 55701 13
